Airplanes Holdings,\N,,AHH,AIRHOLD,Ireland,N
Air Hong Kong,\N,LD,AHK,AIR HONG KONG,Hong Kong,N
Aerochiapas,\N,,AHP,AEROCHIAPAS,Mexico,N
Air Adriatic,\N,,AHR,ADRIATIC,Croatia,N
Air Viggi San Raffaele,\N,,AHS,AIRSAR,Italy,N
ABC Air Hungary,\N,,AHU,ABC HUNGARY,Hungary,N
Aeromist-Kharkiv,\N,HT,AHW,AEROMIST,Ukraine,N
Azerbaijan Airlines,\N,J2,AHY,AZAL,Azerbaijan,Y
Avies,\N,U3,AIA,AVIES,Estonia,Y
Airbus Industrie,\N,AP,AIB,AIRBUS INDUSTRIE,France,N
Alpine Air Chile,\N,,AIH,ALPINE CHILE,Chile,N
Air Integra,\N,,AII,INTEGRA,Canada,N
ABC Aerolineas,\N,,AIJ,ABC AEROLINEAS,Mexico,N
African Airlines International Limited,\N,,AIK,AFRICAN AIRLINES,Kenya,N
African International Airways,\N,,AIN,FLY CARGO,Swaziland,N
Alpine Air Express,\N,5A,AIP,ALPINE AIR,United States,N
Alicante Internacional Airlines,\N,,AIU,ALIA,Spain,N
Aba Air,\N,,ABP,BAIR,Czech Republic,N
Airblue,\N,ED,ABQ,PAKBLUE,Pakistan,Y
Airmark Aviation,\N,,THM,THAI AIRMARK,Thailand,N
Airlift International,\N,,AIR,AIRLIFT,United States,Y
Airest,\N,,AIT, ,Estonia,N
Air Baffin,\N,,BFF,AIR BAFFIN,Canada,N
Air Bandama,\N,,BDM,BANDAMA,Ivory Coast,N
Air Berlin,\N,AB,BER,AIR BERLIN,Germany,Y
Air Brousse,\N,,ABT,AIR BROUSSE,Canada,N
Air Contractors,\N,AG,ABR,CONTRACT,Ireland,N
Air Illinois,\N,,AIL,AIR ILLINOIS,United States,N
Air India Limited,\N,AI,AIC,AIRINDIA,India,Y
Air Inter Gabon,\N,,AIG, ,Gabon,N
Air Bourbon,\N,ZB,BUB,BOURBON,Reunion,Y
Air Atlanta Icelandic,\N,CC,ABD,ATLANTA,Iceland,Y
Air Inuit,\N,,AIE,AIR INUIT,Canada,N
Air Sureste,\N,,AIS,SURESTE,Spain,N
